name,street,number,district,city_state,zip_code,latitude,longitude
222, Rua Francisco Deslandes, Anchieta, Regional Centro-Sul, Belo Horizonte, Minas Gerais, Região Sudeste, 30310-080,-19.9456523,-43.9295759
Rua David Alves do Vale, Santa Rosa, Pampulha, Belo Horizonte, Minas Gerais, Região Sudeste, 31255-973,-19.8634011,-43.9441692
Rua Dona Geni, Maria Helena, Venda Nova, Belo Horizonte, Minas Gerais, 31680-120, Brasil,-19.8013309,-43.9965515
,,,,,,,
Rua Doutor Álvaro Camargos, São João Batista, Venda Nova, Belo Horizonte, Minas Gerais, 31720-300, Brasil,-19.8274428,-43.9615139
Rua do Ouro, Serra, Regional Centro-Sul, Belo Horizonte, Minas Gerais, 30220-000, Brasil,-19.9335106,-43.9234402
Rua Piauí, Funcionários, Regional Centro-Sul, Belo Horizonte, Minas Gerais, 39140-111, Brasil,-19.9357991,-43.9280367
Rua Divisa Nova, Salgado Filho, Regional Oeste, Belo Horizonte, Minas Gerais, 30550-000, Brasil,-19.9440127,-43.9840632
Rua Silva Fortes, União, Regional Nordeste, Belo Horizonte, Minas Gerais, Região Sudeste, 31160-370,-19.8796811,-43.9279013
Rua Pastor Rui Franco, São João Batista, Venda Nova, Belo Horizonte, Minas Gerais, Região Sudeste, 31520-400,-19.8168676,-43.9694756
Rua dos Astecas, Santa Mônica, Venda Nova, Belo Horizonte, Minas Gerais, 31525-380, Brasil,-19.8299231,-43.9791637
Rua Maria Ferreira da Silva, Dom Joaquim, Regional Nordeste, Belo Horizonte, Minas Gerais, 31910-520, Brasil,-19.8762275,-43.9158899
Rua Geralda Marinho, São João Batista, Venda Nova, Belo Horizonte, Minas Gerais, Região Sudeste, 31565-180,-19.8268831,-43.9645853
Rua Platina, Calafate, Regional Oeste, Belo Horizonte, Minas Gerais, Região Sudeste, 30410-600,-19.9217945,-43.9677897
Rua Soares Nogueira, Camargos, Glalijá, Regional Oeste, Belo Horizonte, Minas Gerais, 32310-010, Brasil,-19.9402357,-44.0216093
Rua Arthur Luchesi, Santa Helena, Barreiro, Belo Horizonte, Minas Gerais, 30642-140, Brasil,-19.9894517,-44.0100935
Rua Vicentina Coutinho Camargos, Álvaro Camargos, Frei Eustáquio, Regional Noroeste, Belo Horizonte, Minas Gerais, 30860-070, Brasil,-19.9153621,-44.0062588
Avenida Guarapari, Santa Amélia, Pampulha, Belo Horizonte, Minas Gerais, 31555-100, Brasil,-19.8459682,-43.9767481
Rua Geralda Marinho, São João Batista, Venda Nova, Belo Horizonte, Minas Gerais, 31565-180, Brasil,-19.8268831,-43.9645853
,,,,,,,
Rua Conde de Prados, Padre Eustáquio, Regional Noroeste, Belo Horizonte, Minas Gerais, 30720-430, Brasil,-19.9186732,-43.9703781
Rua Vicente Risola, Ana Lúcia, Santa Inês, Regional Leste, Belo Horizonte, Minas Gerais, 31080-160, Brasil,-19.8899984,-43.9086241
Avenida Bernardo Vasconcelos, Ipiranga, Regional Nordeste, Belo Horizonte, Minas Gerais, Região Sudeste, 31160-540,-19.8757884,-43.9293954
Avenida Amazonas, Nova Suíça, Regional Oeste, Belo Horizonte, Minas Gerais, Região Sudeste, 30421-169,-19.9297695,-43.9779451
Rua Gávea, Jardim América, Regional Oeste, Belo Horizonte, Minas Gerais, Região Sudeste, 30421-345,-19.9388489,-43.9752421
Avenida Doutor Cristiano Guimarães, Itapoã, Pampulha, Belo Horizonte, Minas Gerais, 31720-300, Brasil,-19.8354846,-43.9553743
Rua Lindolfo Deodoro, Salgado Filho, Regional Oeste, Belo Horizonte, Minas Gerais, Região Sudeste, 30421-351,-19.9396503,-43.9789774
,,,,,,,
Rua São Felipe, Brasil Industrial, Barreiro, Belo Horizonte, Minas Gerais, Região Sudeste, 30626-110,-20.0017003,-44.0119088
Rua Java, Nova Suíça, Regional Oeste, Belo Horizonte, Minas Gerais, 30421-280, Brasil,-19.9333627,-43.9746709
Rua Pitangui, Concórdia, Regional Nordeste, Belo Horizonte, Minas Gerais, Região Sudeste, 31210-010,-19.9025123,-43.9419455
Estabelecimento, 160, Rua Monte Alegre, Serra, Regional Centro-Sul, Belo Horizonte, Minas Gerais, Região Sudeste, 30110-031,-19.9363019,-43.9239093
Rua Cura d'Ars, Prado, Regional Oeste, Belo Horizonte, Minas Gerais, Região Sudeste, 30411-203,-19.9260694,-43.9640742
Rua Paracatu, Santo Agostinho, Regional Centro-Sul, Belo Horizonte, Minas Gerais, 30140-093, Brasil,-19.9291267,-43.9537761
Rua São Miguel, Itapoã, Pampulha, Belo Horizonte, Minas Gerais, Região Sudeste, 31710-030,-19.8410387,-43.9652554
Avenida Saramenha, Guarani, Regional Norte, Belo Horizonte, Minas Gerais, Região Sudeste, 31845-425,-19.8455141,-43.9154855
,,,,,,,
Avenida dos Engenheiros, Alípio de Melo, Pampulha, Belo Horizonte, Minas Gerais, Região Sudeste, 31330-130,-19.8894503,-44.0016647
Rua Lindolfo de Azevedo, Jardim América, Regional Oeste, Belo Horizonte, Minas Gerais, 30421-484, Brasil,-19.9517213,-43.9693972
,,,,,,,
Rua dos Tamoios, Centro, Regional Centro-Sul, Belo Horizonte, Minas Gerais, Região Sudeste, 30130-905,-19.9203116,-43.938988
Rua dos Odontólogos, Alípio de Melo, Pampulha, Belo Horizonte, Minas Gerais, Região Sudeste, 30882-050,-19.8910583,-44.0047802
Rua Major Lopes, São Pedro, Regional Centro-Sul, Belo Horizonte, Minas Gerais, 30330-050, Brasil,-19.9437587,-43.9353029
Rua Jacarina, Padre Eustáquio, Regional Noroeste, Belo Horizonte, Minas Gerais, Região Sudeste, 30720-180,-19.9145885,-43.9717695
Rua Vitório Magnavacca, Buritis, Regional Oeste, Belo Horizonte, Minas Gerais, 30455-900, Brasil,-19.9680402,-43.9655163
,,,,,,,
,,,,,,,
,,,,,,,
Avenida Francisco Sá, Gutierrez, Regional Oeste, Belo Horizonte, Minas Gerais, Região Sudeste, 30430-180,-19.9356623,-43.9595796
Avenida General Olímpio Mourão Filho, Itapoã, Pampulha, Belo Horizonte, Minas Gerais, 31720-300, Brasil,-19.8291011,-43.9605314
Rua dos Tupinambás, Centro, Regional Centro-Sul, Belo Horizonte, Minas Gerais, Região Sudeste, 30180-113,-19.9164141,-43.9443398
Rua Luther King, Cidade Nova, Regional Nordeste, Belo Horizonte, Minas Gerais, Região Sudeste, 31170-130,-19.8926606,-43.9246059
Rua Realengo, Alto dos Caiçaras, Regional Noroeste, Belo Horizonte, Minas Gerais, Região Sudeste, 30770-410,-19.9014096,-43.9756523
Rua Itaité, São Geraldo, Regional Leste, Belo Horizonte, Minas Gerais, Região Sudeste, 31060-470,-19.898576,-43.9006901
Rua Mármore, Santa Tereza, Regional Leste, Belo Horizonte, Minas Gerais, 31010-230, Brasil,-19.9162948,-43.9182816
Avenida Waldomiro Lobo, Aarão Reis, Regional Norte, Belo Horizonte, Minas Gerais, 31814-620, Brasil,-19.8444932,-43.9231461
Rua Chico Rei, Estrela do Oriente, Regional Oeste, Belo Horizonte, Minas Gerais, Região Sudeste, 30580-353,-19.9615872,-43.9847596
Rua Garrett, Nova Granada, Regional Oeste, Belo Horizonte, Minas Gerais, Região Sudeste, 30460-620,-19.9432796,-43.9684262
Rua Desembargador José Satyro, Castelo, Ouro Preto 3ª Gleba, Pampulha, Belo Horizonte, Minas Gerais, 30840-470, Brasil,-19.8886426,-43.9960496
Avenida Francisco Sá, Prado, Regional Oeste, Belo Horizonte, Minas Gerais, 30411-186, Brasil,-19.9296111,-43.9598277
Avenida Joaquim Clemente, Floramar, Regional Norte, Belo Horizonte, Minas Gerais, Região Sudeste, 31742-036,-19.8396478,-43.9332774
Avenida Francisco Sá, Prado, Regional Oeste, Belo Horizonte, Minas Gerais, 30411-186, Brasil,-19.928111,-43.9596885
Rua Vicente Risola, Ana Lúcia, Santa Inês, Regional Leste, Belo Horizonte, Minas Gerais, Região Sudeste, 31080-160,-19.8916887,-43.9083866
,,,,,,,
Rua Rio de Janeiro, Lourdes, Regional Centro-Sul, Belo Horizonte, Minas Gerais, 30180-100, Brasil,-19.925814,-43.9404836
Rua dos Borges, Vila Maria, Jardim Vitória, Regional Nordeste, Belo Horizonte, Minas Gerais, Região Sudeste, 31970-745,-19.8517855,-43.8879409
Rua João Samaha, São João Batista, Venda Nova, Belo Horizonte, Minas Gerais, Região Sudeste, 31520-400,-19.8204997,-43.9675696
Rua Olavo Andrade, Cachoeirinha, Regional Nordeste, Belo Horizonte, Minas Gerais, Região Sudeste, 31150-900,-19.8900825,-43.9468716
Rua São Paulo da Cruz, Barreiro de Baixo, Barreiro, Belo Horizonte, Minas Gerais, Região Sudeste, 30642-060,-19.9810622,-44.0133834
Praça Manoel Batista Baía, Mantiqueira, Venda Nova, Belo Horizonte, Minas Gerais, 31660-050, Brasil,-19.8000554,-43.9839421
Avenida Guarapari, Entorno Guarapari, Santa Amélia, Pampulha, Belo Horizonte, Minas Gerais, Região Sudeste, 31560-140,-19.8388542,-43.977372
Rua Cristina, São Pedro, Regional Centro-Sul, Belo Horizonte, Minas Gerais, Região Sudeste, 30330-000,-19.9472962,-43.9352098
Rua Eli Seabra Filho, Buritis, Regional Oeste, Belo Horizonte, Minas Gerais, 30575-740, Brasil,-19.9756214,-43.9751097
Rua Coronél Otávio Diniz, Paraíso, Regional Leste, Belo Horizonte, Minas Gerais, Região Sudeste, 30280-480,-19.916345,-43.9073823
Garagge Vitange, 1258, Avenida Doutor Cristiano Guimarães, Planalto, Regional Norte, Belo Horizonte, Minas Gerais, Região Sudeste, 31720-300,-19.8315762,-43.9547337
Rua Contria, Grajaú, Regional Oeste, Belo Horizonte, Minas Gerais, 30431-285, Brasil,-19.936342,-43.968268
Rua Amilcar Cabral, Milionários, Barreiro, Belo Horizonte, Minas Gerais, 30620-250, Brasil,-19.9846453,-44.0031641
Cantina do Lucas, 233, Avenida Augusto de Lima, Centro, Regional Centro-Sul, Belo Horizonte, Minas Gerais, 31190-000, Brasil,-19.9248113,-43.9375775
,,,,,,,
Rua Tristão da Cunha, Planalto, Regional Norte, Belo Horizonte, Minas Gerais, Região Sudeste, 31720-440,-19.8369086,-43.9483954
,,,,,,,
Rua Carlos Sá, Jardim Atlântico, Copacabana, Pampulha, Belo Horizonte, Minas Gerais, Região Sudeste, 31550-000,-19.8414871,-43.9890445
Rua Professor Raimundo Nonato, Santa Tereza, Regional Leste, Belo Horizonte, Minas Gerais, 31010-260, Brasil,-19.9119307,-43.9157622
Avenida Silviano Brandão, Sagrada Família, Regional Leste, Belo Horizonte, Minas Gerais, 31015-380, Brasil,-19.9075227,-43.9293974
Rua Oliveira Lisboa, Barreiro de Baixo, Barreiro, Belo Horizonte, Minas Gerais, Região Sudeste, 30640-020,-19.9761639,-44.0131047
Rua Carmésia, Ana Lúcia, Santa Inês, Regional Leste, Belo Horizonte, Minas Gerais, Região Sudeste, 31080-320,-19.8815093,-43.9090525
Rua Jefferson de Oliveira, Entorno Guarapari, Santa Amélia, Pampulha, Belo Horizonte, Minas Gerais, 31560-140, Brasil,-19.8421348,-43.9759104
Avenida Serrana, Serrano, Residencial Sarandi, Pampulha, Belo Horizonte, Minas Gerais, 31360-310, Brasil,-19.8728577,-44.0135935
Rua Brás Cubas, Anchieta, Regional Centro-Sul, Belo Horizonte, Minas Gerais, 30310-520, Brasil,-19.9453396,-43.9286133
Rua Romualdo Lopes Cançado, Castelo, Pampulha, Belo Horizonte, Minas Gerais, Região Sudeste, 30840-470,-19.8881972,-43.996875
Mulão, 291, Rua Marambaia, Caiçaras, Regional Noroeste, Belo Horizonte, Minas Gerais, 30770-080, Brasil,-19.9090992,-43.9683517
Rua dos Astecas, Santa Mônica, Venda Nova, Belo Horizonte, Minas Gerais, 31525-380, Brasil,-19.8299231,-43.9791637
Avenida dos Engenheiros, Alípio de Melo, Pampulha, Belo Horizonte, Minas Gerais, 30840-300, Brasil,-19.8902904,-44.0007213
Rua Capitão Sérgio Pires, Minascaixa, Venda Nova, Belo Horizonte, Minas Gerais, Região Sudeste, 31630-560,-19.8066128,-43.9563356
Avenida Brasil, São Lucas, Santa Efigênia, Regional Centro-Sul, Belo Horizonte, Minas Gerais, Região Sudeste, 30140-000, Brasil,-19.9237435,-43.9206874
Avenida dos Engenheiros, Alípio de Melo, Pampulha, Belo Horizonte, Minas Gerais, 30840-300, Brasil,-19.8902904,-44.0007213
Avenida General Carlos Guedes, Planalto, Regional Norte, Belo Horizonte, Minas Gerais, 31720-440, Brasil,-19.8373712,-43.9480678
Rua Flórida, Sion, Regional Centro-Sul, Belo Horizonte, Minas Gerais, 30310-750, Brasil,-19.9489897,-43.9322579
Avenida Amazonas, Nova Suíça, Regional Oeste, Belo Horizonte, Minas Gerais, 30421-026, Brasil,-19.929796,-43.9739695
Avenida Guarapari, Entorno Guarapari, Santa Amélia, Pampulha, Belo Horizonte, Minas Gerais, Região Sudeste, 31560-140,-19.8388542,-43.977372
Rua Pium-i, Carmo, Regional Centro-Sul, Belo Horizonte, Minas Gerais, Região Sudeste, 30310-560,-19.9426434,-43.9299187
Avenida Francisco Sá, Prado, Regional Oeste, Belo Horizonte, Minas Gerais, 30411-186, Brasil,-19.928111,-43.9596885
Avenida Joaquim Clemente, Floramar, Regional Norte, Belo Horizonte, Minas Gerais, Região Sudeste, 31742-036,-19.8396478,-43.9332774
Rua Gávea, Lagoinha, Venda Nova, Belo Horizonte, Minas Gerais, Região Sudeste, 31680-120,-19.804862,-43.9928324
Rua Henrique Badaró Portugal, Buritis, Regional Oeste, Belo Horizonte, Minas Gerais, Região Sudeste, 30575-740,-19.9744485,-43.9759493
Rua Alabastro, Horto, Regional Leste, Belo Horizonte, Minas Gerais, Região Sudeste, 31015-104,-19.9121372,-43.9210181
Rua Alberto Cintra, União, Regional Nordeste, Belo Horizonte, Minas Gerais, 31160-370, Brasil,-19.8845104,-43.9292189
Rua Joaquim Nabuco, Nova Suíça, Regional Oeste, Belo Horizonte, Minas Gerais, Região Sudeste, 30421-265,-19.9354463,-43.9772205
Casarão Dona Clara, 400, Avenida Sebastião de Brito, Dona Clara, Santa Rosa, Pampulha, Belo Horizonte, Minas Gerais, Região Sudeste, 31420-160,-19.8614898,-43.9437183
Rua Ramalho Ortigão, Santa Branca, Pampulha, Belo Horizonte, Minas Gerais, 31565-180, Brasil,-19.8307182,-43.9654983
Rua Gonçalves Ledo, Cachoeirinha, Regional Nordeste, Belo Horizonte, Minas Gerais, Região Sudeste, 31150-900,-19.8892256,-43.946499
Rua Padre José Maurício, Vista Alegre, Vila Vista Alegre, Regional Oeste, Belo Horizonte, Minas Gerais, Região Sudeste, 30516-070,-19.9520894,-43.9926409
Rua Ramalho Ortigão, Santa Branca, Pampulha, Belo Horizonte, Minas Gerais, 31565-180, Brasil,-19.8307182,-43.9654983
,,,,,,,
Avenida Padre Vieira, Minas Brasil, Regional Noroeste, Belo Horizonte, Minas Gerais, Região Sudeste, 30730-420,-19.9160217,-43.9899947
Rua Dona Conceição Martins, Maria Helena, Venda Nova, Belo Horizonte, Minas Gerais, Região Sudeste, 31680-120,-19.8022926,-43.9995124
Avenida Altamiro Avelino Soares, Castelo, Ouro Preto 3ª Gleba, Pampulha, Belo Horizonte, Minas Gerais, 31330-000, Brasil,-19.8842816,-43.9967121
Rua Ilacir Pereira Lima, Silveira, Regional Nordeste, Belo Horizonte, Minas Gerais, 31140-540, Brasil,-19.8918598,-43.929371
Rua Érico Veríssimo, Beija-Flor, Beija Flor, Regional Nordeste, Belo Horizonte, Minas Gerais, Região Sudeste, 31998-257,-19.8344409,-43.8686921
Botequim do Demerval, 380, Rua Padre Demerval Gomes, Coração Eucarístico, Regional Noroeste, Belo Horizonte, Minas Gerais, Região Sudeste, 30535-630,-19.9254737,-43.9917045
Rua Nelson de Sena, Aeroporto, Pampulha, Belo Horizonte, Minas Gerais, Região Sudeste, 31270-380,-19.8543191,-43.9568613
Rua Miracema, Santo André, Regional Noroeste, Belo Horizonte, Minas Gerais, 31230-590, Brasil,-19.8999841,-43.9522977
Rua Blenda, Camargos, Glalijá, Regional Oeste, Belo Horizonte, Minas Gerais, Região Sudeste, 30525-160,-19.9407705,-44.0148074
Rua Francisco Deslandes, Anchieta, Regional Centro-Sul, Belo Horizonte, Minas Gerais, Região Sudeste, 30310-530,-19.9503283,-43.9286988
,,,,,,,
Rua das Melancias, Vila Clóris, Regional Norte, Belo Horizonte, Minas Gerais, Região Sudeste, 31744-054,-19.8211972,-43.9515485
Zoo Bar, 7844, Avenida Otacílio Negrão de Lima, Bandeirantes, Bandeirantes II, Pampulha, Belo Horizonte, Minas Gerais, Região Sudeste, 31365-450,-19.8545889,-44.0040585
