name,street,number,district,city_state,zip_code,latitude,longitude
222,Rua Francisco Deslandes,222,Anchieta,Belo Horizonte - Minas Gerais,30310-080,-19.9456523,-43.9295759
Alexandre’s Bar,Rua David Alves do Vale,,Santa Rosa,Belo Horizonte - Minas Gerais,31255-973,-19.8634011,-43.9441692
Andrade’s Beer,Rua Dona Geni,,Lagoinha,Belo Horizonte - Minas Gerais,31680-120,-19.8049138,-43.9969411
Armazém Santa Amélia,Rua da Sinfonia,253,Santa Amélia,Belo Horizonte - MG,31560-420,-19.8328008,-43.9740549
Avalanche Bar e Restaurante,Rua Doutor Álvaro Camargos,,São João Batista,Belo Horizonte - Minas Gerais,31720-300,-19.8258777,-43.9608039
Azougue Fogo e Bar,Rua do Ouro,,Serra,Belo Horizonte - Minas Gerais,30220-000,-19.9335106,-43.9234402
Baiúca,Rua Piauí,,Santa Efigênia,Belo Horizonte - Minas Gerais,30130-090,-19.9271143,-43.9256779
Bar Bambú,Rua Divisa Nova,,Salgado Filho,Belo Horizonte - Minas Gerais,30550-000,-19.9440127,-43.9840632
Bar Bendita Baderna,Rua Silva Fortes,,União,Belo Horizonte - Minas Gerais,31160-370,-19.8796811,-43.9279013
Bar da Cintia,Rua Pastor Rui Franco,,São João Batista,Belo Horizonte - Minas Gerais,31520-400,-19.8168676,-43.9694756
Bar da Fia,Rua dos Astecas,,Santa Mônica,Belo Horizonte - Minas Gerais,31525-380,-19.8299231,-43.9791637
Bar da Gisa,Rua Maria Ferreira da Silva,,Dom Joaquim,Belo Horizonte - Minas Gerais,31910-520,-19.8773115,-43.9165710
Bar da Lu,Rua Geralda Marinho,,São João Batista,Belo Horizonte - Minas Gerais,31565-180,-19.8268831,-43.9645853
Bar da Praça,Rua Oeste,,Prado,Belo Horizonte - Minas Gerais,30411-305,-19.9231962,-43.9663009
Bar da Silvânia,Rua Soares Nogueira,,Camargos,Belo Horizonte - Minas Gerais,32310-010,-19.9402357,-44.0216093
Bar do Bartolomeu,Rua Arthur Luchesi,,Santa Helena,Belo Horizonte - Minas Gerais,30642-140,-19.9894517,-44.0100935
Bar do Bem,Rua Vicentina Coutinho Camargos,,Álvaro Camargos,Belo Horizonte - Minas Gerais,30860-070,-19.9153621,-44.0062588
Bar do Dedinho,Avenida Guarapari,,Santa Amélia,Belo Horizonte - Minas Gerais,31555-100,-19.8459682,-43.9767481
Bar do João (São João Batista),Rua Geralda Marinho,,São João Batista,Belo Horizonte - Minas Gerais,31565-180,-19.8268831,-43.9645853
Bar do Kim,Rua Júlio de Castilho,,Parque São José,Belo Horizonte - Minas Gerais,30570-080,-19.9648894,-43.9812539
Bar do Momô,Rua Conde de Prados,,Padre Eustáquio,Belo Horizonte - Minas Gerais,30720-430,-19.9186732,-43.9703781
Bar do Nelson,Rua Vicente Risola,,Ana Lúcia,Belo Horizonte - Minas Gerais,31080-160,-19.8916887,-43.9083866
Bar do Peixinho,Avenida Bernardo Vasconcelos,,Ipiranga,Belo Horizonte - Minas Gerais,31160-540,-19.8757884,-43.9293954
Bar do Primo,Avenida Amazonas,,Nova Suíça,Belo Horizonte - Minas Gerais,30480-000,-19.9295312,-43.9774293
Bar do Regis,Rua Gávea,,Jardim América,Belo Horizonte - Minas Gerais,30421-345,-19.9388489,-43.9752421
Bar do Tião,Avenida Doutor Cristiano Guimarães,,Itapoã,Belo Horizonte - Minas Gerais,31720-440,-19.8365481,-43.9545223
Bar dos Meninos,Rua Lindolfo Deodoro,,Salgado Filho,Belo Horizonte - Minas Gerais,30421-351,-19.9396503,-43.9789774
Bar Du Du,Rua 28 de Setembro,,Pompeia,Belo Horizonte - Minas Gerais,30280-480,-19.9110478,-43.9070201
Bar Du Magrelo,Rua São Felipe,,Brasil Industrial,Belo Horizonte - Minas Gerais,30626-110,-20.0017003,-44.0119088
Bar e Restaurante Bom Sabor,Rua Java,,Nova Suíça,Belo Horizonte - Minas Gerais,30421-280,-19.9333627,-43.9746709
Bar e Restaurante do Branco,Rua Pitangui,,Floresta,Belo Horizonte - Minas Gerais,31015-380,-19.9059440,-43.9302957
Bar Estabelecimento,Rua Monte Alegre,160,Serra,Belo Horizonte - Minas Gerais,30110-031,-19.9363019,-43.9239093
Bar Junto Juntinho,Rua Cura d'Ars,,Prado,Belo Horizonte - Minas Gerais,30411-223,-19.9303123,-43.9634520
Bar Mania Mineira,Rua Paracatu,,Barro Preto,Belo Horizonte - Minas Gerais,30180-094,-19.9248402,-43.9526088
Bar Pompéu,Rua São Miguel,,Itapoã,Belo Horizonte - Minas Gerais,31710-030,-19.8410387,-43.9652554
Bar Stella,Avenida Saramenha,,Guarani,Belo Horizonte - Minas Gerais,31814-620,-19.8421285,-43.9202727
Bar Temático Sta. Teresa,Rua Pirite,,Pompeia,Belo Horizonte - Minas Gerais,30280-480,-19.9104623,-43.9084168
Barrigudinha Buteco,Avenida dos Engenheiros,,Castelo,Belo Horizonte - Minas Gerais,31330-130,-19.8895208,-44.0015122
Barzim dos Amigos,Rua Lindolfo de Azevedo,,Jardim América,Belo Horizonte - Minas Gerais,30421-484,-19.9517213,-43.9693972
Bazin Bar,R. Min. Orozimbo Nonato,1053,Dona Clara,Belo Horizonte - MG,31260-155,-19.8567371,-43.9475273
Beco Restaurante,Rua dos Tamoios,,Centro,Belo Horizonte - Minas Gerais,30130-905,-19.9203116,-43.9389880
Bella Bar e Restaurante,Rua dos Odontólogos,,Alípio de Melo,Belo Horizonte - Minas Gerais,31330-130,-19.8897343,-44.0033492
Boi Major,Rua Major Lopes,,São Pedro,Belo Horizonte - Minas Gerais,30330-050,-19.9437587,-43.9353029
