nome,rua,numero,cidade,cep,latitude,longitude
222,R. Francisco Deslandes,222,Belo Horizonte - MG,30310-530,-19.9456523,-43.9295759
Alexandre’s Bar,R. David Alves do Vale,68,Santa Rosa,Belo Horizonte - MG,-19.8634011,-43.9441692
Andrade’s Beer,R. Dona Geni,32,Maria Helena,Belo Horizonte - MG,-19.8049138,-43.9969411
Armazém Santa Amélia,Rua da Sinfonia,253,Santa Amélia,Belo Horizonte - MG,,
Avalanche Bar e Restaurante,R. Doutor Álvaro Camargos,1113,São Belo Horizonte - MG,31515-142,-19.8258777,-43.9608039
Azougue Fogo e Bar,Rua do Ouro,835,Serra,Belo Horizonte - MG,-19.9403611,-43.9200245
Baiúca,R. Piauí,1884,Funcionários,Belo Horizonte - MG,-19.9368282,-43.9282795
Bar Bambú,R. Divisa Nova,670,Belo Horizonte - MG,30550-330,-19.9440127,-43.9840632
Bar Bendita Baderna,R. Silva Fortes,47,União,Belo Horizonte - MG,-19.8796811,-43.9279013
Bar da Cintia,R. Pastor Rui Franco,257,São João Batista (Venda Nova),Belo Horizonte - MG,-19.8168676,-43.9694756
Bar da Fia,R. dos Astecas,2722,Santa Mônica,Belo Horizonte - MG,-19.8299231,-43.9791637
Bar da Gisa,Rua Maria Ferreira da Silva,367,Belo Horizonte - MG,31920-350,-19.8773115,-43.9165710
Bar da Lu,R. Geralda Marinho,41,São João Batista (Venda Nova),Belo Horizonte - MG,-19.8268831,-43.9645853
Bar da Praça,Rua Oeste,517,Calafate,Belo Horizonte - MG,-19.9217945,-43.9677897
Bar da Silvânia,R. Soares Nogueira,801,Camargos,Belo Horizonte - MG,-19.9413608,-44.0180235
Bar do Bartolomeu,R. Arthur Luchesi,356,Santa Helena (Barreiro),Belo Horizonte - MG,-19.9851340,-44.0112649
Bar do Bem,Rua Vicentina Coutinho Camargos,100,Álvaro Camargos,Belo Horizonte - MG,-19.9150472,-44.0051064
Bar do Dedinho,Avenida Guarapari,872,Belo Horizonte - MG,31555-000,-19.8457720,-43.9775591
Bar do João (São João Batista),R. Geralda Marinho,117,Belo Horizonte - MG,31515-420,-19.8268831,-43.9645853
Bar do Kim,Rua Júlio de Castilho,1071,Palmeiras,Belo Horizonte - MG,-19.9590946,-43.9818958
Bar do Momô,Avenida Coronel José Benjamim,777,Belo Horizonte - MG,30720-430,,
Bar do Nelson,R. Vicente Risola,1000,Santa Inês,Belo Horizonte - MG,,
Bar do Peixinho,Avenida Bernardo de Vasconcelos,1824,Belo Horizonte - MG,31150-000,,
Bar do Primo,Avenida Amazonas,4649,Nova Suíça,Belo Horizonte - MG,,
Bar do Regis,R. Gávea,422,Jardim América,Belo Horizonte - MG,,
Bar do Tião,Avenida Doutor Cristiano Guimarães,2570,Planalto,Belo Horizonte - MG,,
Bar dos Meninos,Rua Lindolfo Deodoro,503 - A,Salgado Filho,Belo Horizonte - MG,,
Bar Du Du,R. Vinte e Oito de Setembro,229,Esplanada,Belo Horizonte - MG,,
Bar Du Magrelo,Rua São Felipe,21,Belo Horizonte - MG,31030-290,,
Bar e Restaurante Bom Sabor,R. Java,386,Nova Suíça,Belo Horizonte - MG,,
Bar e Restaurante do Branco,Rua Pitangui,3197,Belo Horizonte - MG,31030-211,,
Bar Estabelecimento,R. Monte Alegre,160,Serra,Belo Horizonte - MG,,
Bar Junto Juntinho,Rua Cura D’Ars,542,Prado,Belo Horizonte - MG,,
Bar Mania Mineira,Rua Paracatu,1099,Santo Agostinho,Belo Horizonte - MG,,
Bar Pompéu,R. São Miguel,779,Itapoã,Belo Horizonte - MG,,
Bar Stella,Av. Saramenha,1599,Guarani,Belo Horizonte - MG,,
Bar Temático Sta. Teresa,R. Pirite,187,Santa Teresa,Belo Horizonte - MG,,
Barrigudinha Buteco,Av. dos Engenheiros,1071,Alípio de Melo,Belo Horizonte - MG,,
